window_uid,subject_id,condition,label,source_edf,start_sec,end_sec,source_duration_sec,window_extends_beyond_source,window_seconds,overlap_seconds,overlap_status,segment_type,row_id,used_for_calibration,used_for_scoring,calibration_scoring_overlap
Subject00|rest|Subject00_1.edf|66.000|70.000,Subject00,rest,0,Subject00_1.edf,66.0,70.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,33,False,True,False
Subject00|rest|Subject00_1.edf|68.000|72.000,Subject00,rest,0,Subject00_1.edf,68.0,72.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,34,False,True,False
Subject00|rest|Subject00_1.edf|70.000|74.000,Subject00,rest,0,Subject00_1.edf,70.0,74.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,35,False,True,False
Subject00|rest|Subject00_1.edf|72.000|76.000,Subject00,rest,0,Subject00_1.edf,72.0,76.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,36,False,True,False
Subject00|rest|Subject00_1.edf|74.000|78.000,Subject00,rest,0,Subject00_1.edf,74.0,78.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,37,False,True,False
Subject00|rest|Subject00_1.edf|76.000|80.000,Subject00,rest,0,Subject00_1.edf,76.0,80.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,38,False,True,False
Subject00|rest|Subject00_1.edf|78.000|82.000,Subject00,rest,0,Subject00_1.edf,78.0,82.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,39,False,True,False
Subject00|rest|Subject00_1.edf|80.000|84.000,Subject00,rest,0,Subject00_1.edf,80.0,84.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,40,False,True,False
Subject00|rest|Subject00_1.edf|82.000|86.000,Subject00,rest,0,Subject00_1.edf,82.0,86.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,41,False,True,False
Subject00|rest|Subject00_1.edf|84.000|88.000,Subject00,rest,0,Subject00_1.edf,84.0,88.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,42,False,True,False
Subject00|rest|Subject00_1.edf|86.000|90.000,Subject00,rest,0,Subject00_1.edf,86.0,90.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,43,False,True,False
Subject00|rest|Subject00_1.edf|88.000|92.000,Subject00,rest,0,Subject00_1.edf,88.0,92.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,44,False,True,False
Subject00|rest|Subject00_1.edf|90.000|94.000,Subject00,rest,0,Subject00_1.edf,90.0,94.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,45,False,True,False
Subject00|rest|Subject00_1.edf|92.000|96.000,Subject00,rest,0,Subject00_1.edf,92.0,96.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,46,False,True,False
Subject00|rest|Subject00_1.edf|94.000|98.000,Subject00,rest,0,Subject00_1.edf,94.0,98.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,47,False,True,False
Subject00|rest|Subject00_1.edf|96.000|100.000,Subject00,rest,0,Subject00_1.edf,96.0,100.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,48,False,True,False
Subject00|rest|Subject00_1.edf|98.000|102.000,Subject00,rest,0,Subject00_1.edf,98.0,102.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,49,False,True,False
Subject00|rest|Subject00_1.edf|100.000|104.000,Subject00,rest,0,Subject00_1.edf,100.0,104.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,50,False,True,False
Subject00|rest|Subject00_1.edf|102.000|106.000,Subject00,rest,0,Subject00_1.edf,102.0,106.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,51,False,True,False
Subject00|rest|Subject00_1.edf|104.000|108.000,Subject00,rest,0,Subject00_1.edf,104.0,108.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,52,False,True,False
Subject00|rest|Subject00_1.edf|106.000|110.000,Subject00,rest,0,Subject00_1.edf,106.0,110.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,53,False,True,False
Subject00|rest|Subject00_1.edf|108.000|112.000,Subject00,rest,0,Subject00_1.edf,108.0,112.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,54,False,True,False
Subject00|rest|Subject00_1.edf|110.000|114.000,Subject00,rest,0,Subject00_1.edf,110.0,114.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,55,False,True,False
Subject00|rest|Subject00_1.edf|112.000|116.000,Subject00,rest,0,Subject00_1.edf,112.0,116.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,56,False,True,False
Subject00|rest|Subject00_1.edf|114.000|118.000,Subject00,rest,0,Subject00_1.edf,114.0,118.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,57,False,True,False
Subject00|rest|Subject00_1.edf|116.000|120.000,Subject00,rest,0,Subject00_1.edf,116.0,120.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,58,False,True,False
Subject00|rest|Subject00_1.edf|118.000|122.000,Subject00,rest,0,Subject00_1.edf,118.0,122.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,59,False,True,False
Subject00|rest|Subject00_1.edf|120.000|124.000,Subject00,rest,0,Subject00_1.edf,120.0,124.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,60,False,True,False
Subject00|rest|Subject00_1.edf|122.000|126.000,Subject00,rest,0,Subject00_1.edf,122.0,126.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,61,False,True,False
Subject00|rest|Subject00_1.edf|124.000|128.000,Subject00,rest,0,Subject00_1.edf,124.0,128.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,62,False,True,False
Subject00|rest|Subject00_1.edf|126.000|130.000,Subject00,rest,0,Subject00_1.edf,126.0,130.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,63,False,True,False
Subject00|rest|Subject00_1.edf|128.000|132.000,Subject00,rest,0,Subject00_1.edf,128.0,132.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,64,False,True,False
Subject00|rest|Subject00_1.edf|130.000|134.000,Subject00,rest,0,Subject00_1.edf,130.0,134.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,65,False,True,False
Subject00|rest|Subject00_1.edf|132.000|136.000,Subject00,rest,0,Subject00_1.edf,132.0,136.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,66,False,True,False
Subject00|rest|Subject00_1.edf|134.000|138.000,Subject00,rest,0,Subject00_1.edf,134.0,138.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,67,False,True,False
Subject00|rest|Subject00_1.edf|136.000|140.000,Subject00,rest,0,Subject00_1.edf,136.0,140.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,68,False,True,False
Subject00|rest|Subject00_1.edf|138.000|142.000,Subject00,rest,0,Subject00_1.edf,138.0,142.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,69,False,True,False
Subject00|rest|Subject00_1.edf|140.000|144.000,Subject00,rest,0,Subject00_1.edf,140.0,144.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,70,False,True,False
Subject00|rest|Subject00_1.edf|142.000|146.000,Subject00,rest,0,Subject00_1.edf,142.0,146.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,71,False,True,False
Subject00|rest|Subject00_1.edf|144.000|148.000,Subject00,rest,0,Subject00_1.edf,144.0,148.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,72,False,True,False
Subject00|rest|Subject00_1.edf|146.000|150.000,Subject00,rest,0,Subject00_1.edf,146.0,150.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,73,False,True,False
Subject00|rest|Subject00_1.edf|148.000|152.000,Subject00,rest,0,Subject00_1.edf,148.0,152.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,74,False,True,False
Subject00|rest|Subject00_1.edf|150.000|154.000,Subject00,rest,0,Subject00_1.edf,150.0,154.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,75,False,True,False
Subject00|rest|Subject00_1.edf|152.000|156.000,Subject00,rest,0,Subject00_1.edf,152.0,156.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,76,False,True,False
Subject00|rest|Subject00_1.edf|154.000|158.000,Subject00,rest,0,Subject00_1.edf,154.0,158.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,77,False,True,False
Subject00|rest|Subject00_1.edf|156.000|160.000,Subject00,rest,0,Subject00_1.edf,156.0,160.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,78,False,True,False
Subject00|rest|Subject00_1.edf|158.000|162.000,Subject00,rest,0,Subject00_1.edf,158.0,162.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,79,False,True,False
Subject00|rest|Subject00_1.edf|160.000|164.000,Subject00,rest,0,Subject00_1.edf,160.0,164.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,80,False,True,False
Subject00|rest|Subject00_1.edf|162.000|166.000,Subject00,rest,0,Subject00_1.edf,162.0,166.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,81,False,True,False
Subject00|rest|Subject00_1.edf|164.000|168.000,Subject00,rest,0,Subject00_1.edf,164.0,168.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,82,False,True,False
Subject00|rest|Subject00_1.edf|166.000|170.000,Subject00,rest,0,Subject00_1.edf,166.0,170.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,83,False,True,False
Subject00|rest|Subject00_1.edf|168.000|172.000,Subject00,rest,0,Subject00_1.edf,168.0,172.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,84,False,True,False
Subject00|rest|Subject00_1.edf|170.000|174.000,Subject00,rest,0,Subject00_1.edf,170.0,174.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,85,False,True,False
Subject00|rest|Subject00_1.edf|172.000|176.000,Subject00,rest,0,Subject00_1.edf,172.0,176.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,86,False,True,False
Subject00|rest|Subject00_1.edf|174.000|178.000,Subject00,rest,0,Subject00_1.edf,174.0,178.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,87,False,True,False
Subject00|rest|Subject00_1.edf|176.000|180.000,Subject00,rest,0,Subject00_1.edf,176.0,180.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,88,False,True,False
Subject00|rest|Subject00_1.edf|178.000|182.000,Subject00,rest,0,Subject00_1.edf,178.0,182.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_rest,89,False,True,False
Subject00|arithmetic|Subject00_2.edf|0.000|4.000,Subject00,arithmetic,1,Subject00_2.edf,0.0,4.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,90,False,True,False
Subject00|arithmetic|Subject00_2.edf|2.000|6.000,Subject00,arithmetic,1,Subject00_2.edf,2.0,6.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,91,False,True,False
Subject00|arithmetic|Subject00_2.edf|4.000|8.000,Subject00,arithmetic,1,Subject00_2.edf,4.0,8.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,92,False,True,False
Subject00|arithmetic|Subject00_2.edf|6.000|10.000,Subject00,arithmetic,1,Subject00_2.edf,6.0,10.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,93,False,True,False
Subject00|arithmetic|Subject00_2.edf|8.000|12.000,Subject00,arithmetic,1,Subject00_2.edf,8.0,12.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,94,False,True,False
Subject00|arithmetic|Subject00_2.edf|10.000|14.000,Subject00,arithmetic,1,Subject00_2.edf,10.0,14.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,95,False,True,False
Subject00|arithmetic|Subject00_2.edf|12.000|16.000,Subject00,arithmetic,1,Subject00_2.edf,12.0,16.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,96,False,True,False
Subject00|arithmetic|Subject00_2.edf|14.000|18.000,Subject00,arithmetic,1,Subject00_2.edf,14.0,18.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,97,False,True,False
Subject00|arithmetic|Subject00_2.edf|16.000|20.000,Subject00,arithmetic,1,Subject00_2.edf,16.0,20.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,98,False,True,False
Subject00|arithmetic|Subject00_2.edf|18.000|22.000,Subject00,arithmetic,1,Subject00_2.edf,18.0,22.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,99,False,True,False
Subject00|arithmetic|Subject00_2.edf|20.000|24.000,Subject00,arithmetic,1,Subject00_2.edf,20.0,24.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,100,False,True,False
Subject00|arithmetic|Subject00_2.edf|22.000|26.000,Subject00,arithmetic,1,Subject00_2.edf,22.0,26.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,101,False,True,False
Subject00|arithmetic|Subject00_2.edf|24.000|28.000,Subject00,arithmetic,1,Subject00_2.edf,24.0,28.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,102,False,True,False
Subject00|arithmetic|Subject00_2.edf|26.000|30.000,Subject00,arithmetic,1,Subject00_2.edf,26.0,30.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,103,False,True,False
Subject00|arithmetic|Subject00_2.edf|28.000|32.000,Subject00,arithmetic,1,Subject00_2.edf,28.0,32.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,104,False,True,False
Subject00|arithmetic|Subject00_2.edf|30.000|34.000,Subject00,arithmetic,1,Subject00_2.edf,30.0,34.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,105,False,True,False
Subject00|arithmetic|Subject00_2.edf|32.000|36.000,Subject00,arithmetic,1,Subject00_2.edf,32.0,36.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,106,False,True,False
Subject00|arithmetic|Subject00_2.edf|34.000|38.000,Subject00,arithmetic,1,Subject00_2.edf,34.0,38.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,107,False,True,False
Subject00|arithmetic|Subject00_2.edf|36.000|40.000,Subject00,arithmetic,1,Subject00_2.edf,36.0,40.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,108,False,True,False
Subject00|arithmetic|Subject00_2.edf|38.000|42.000,Subject00,arithmetic,1,Subject00_2.edf,38.0,42.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,109,False,True,False
Subject00|arithmetic|Subject00_2.edf|40.000|44.000,Subject00,arithmetic,1,Subject00_2.edf,40.0,44.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,110,False,True,False
Subject00|arithmetic|Subject00_2.edf|42.000|46.000,Subject00,arithmetic,1,Subject00_2.edf,42.0,46.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,111,False,True,False
Subject00|arithmetic|Subject00_2.edf|44.000|48.000,Subject00,arithmetic,1,Subject00_2.edf,44.0,48.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,112,False,True,False
Subject00|arithmetic|Subject00_2.edf|46.000|50.000,Subject00,arithmetic,1,Subject00_2.edf,46.0,50.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,113,False,True,False
Subject00|arithmetic|Subject00_2.edf|48.000|52.000,Subject00,arithmetic,1,Subject00_2.edf,48.0,52.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,114,False,True,False
Subject00|arithmetic|Subject00_2.edf|50.000|54.000,Subject00,arithmetic,1,Subject00_2.edf,50.0,54.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,115,False,True,False
Subject00|arithmetic|Subject00_2.edf|52.000|56.000,Subject00,arithmetic,1,Subject00_2.edf,52.0,56.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,116,False,True,False
Subject00|arithmetic|Subject00_2.edf|54.000|58.000,Subject00,arithmetic,1,Subject00_2.edf,54.0,58.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,117,False,True,False
Subject00|arithmetic|Subject00_2.edf|56.000|60.000,Subject00,arithmetic,1,Subject00_2.edf,56.0,60.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,118,False,True,False
Subject00|arithmetic|Subject00_2.edf|58.000|62.000,Subject00,arithmetic,1,Subject00_2.edf,58.0,62.0,62.0,False,4.0,2.0,4s_windows_50pct_overlap,scored_task,119,False,True,False
Subject01|rest|Subject01_1.edf|0.000|4.000,Subject01,rest,0,Subject01_1.edf,0.0,4.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,120,True,False,False
Subject01|rest|Subject01_1.edf|2.000|6.000,Subject01,rest,0,Subject01_1.edf,2.0,6.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,121,True,False,False
Subject01|rest|Subject01_1.edf|4.000|8.000,Subject01,rest,0,Subject01_1.edf,4.0,8.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,122,True,False,False
Subject01|rest|Subject01_1.edf|6.000|10.000,Subject01,rest,0,Subject01_1.edf,6.0,10.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,123,True,False,False
Subject01|rest|Subject01_1.edf|8.000|12.000,Subject01,rest,0,Subject01_1.edf,8.0,12.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,124,True,False,False
Subject01|rest|Subject01_1.edf|10.000|14.000,Subject01,rest,0,Subject01_1.edf,10.0,14.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,125,True,False,False
Subject01|rest|Subject01_1.edf|12.000|16.000,Subject01,rest,0,Subject01_1.edf,12.0,16.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,126,True,False,False
Subject01|rest|Subject01_1.edf|14.000|18.000,Subject01,rest,0,Subject01_1.edf,14.0,18.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,127,True,False,False
Subject01|rest|Subject01_1.edf|16.000|20.000,Subject01,rest,0,Subject01_1.edf,16.0,20.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,128,True,False,False
Subject01|rest|Subject01_1.edf|18.000|22.000,Subject01,rest,0,Subject01_1.edf,18.0,22.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,129,True,False,False
Subject01|rest|Subject01_1.edf|20.000|24.000,Subject01,rest,0,Subject01_1.edf,20.0,24.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,130,True,False,False
Subject01|rest|Subject01_1.edf|22.000|26.000,Subject01,rest,0,Subject01_1.edf,22.0,26.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,131,True,False,False
Subject01|rest|Subject01_1.edf|24.000|28.000,Subject01,rest,0,Subject01_1.edf,24.0,28.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,132,True,False,False
Subject01|rest|Subject01_1.edf|26.000|30.000,Subject01,rest,0,Subject01_1.edf,26.0,30.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,133,True,False,False
Subject01|rest|Subject01_1.edf|28.000|32.000,Subject01,rest,0,Subject01_1.edf,28.0,32.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,134,True,False,False
Subject01|rest|Subject01_1.edf|30.000|34.000,Subject01,rest,0,Subject01_1.edf,30.0,34.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,135,True,False,False
Subject01|rest|Subject01_1.edf|32.000|36.000,Subject01,rest,0,Subject01_1.edf,32.0,36.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,136,True,False,False
Subject01|rest|Subject01_1.edf|34.000|38.000,Subject01,rest,0,Subject01_1.edf,34.0,38.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,137,True,False,False
Subject01|rest|Subject01_1.edf|36.000|40.000,Subject01,rest,0,Subject01_1.edf,36.0,40.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,138,True,False,False
Subject01|rest|Subject01_1.edf|38.000|42.000,Subject01,rest,0,Subject01_1.edf,38.0,42.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,139,True,False,False
Subject01|rest|Subject01_1.edf|40.000|44.000,Subject01,rest,0,Subject01_1.edf,40.0,44.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,140,True,False,False
Subject01|rest|Subject01_1.edf|42.000|46.000,Subject01,rest,0,Subject01_1.edf,42.0,46.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,141,True,False,False
Subject01|rest|Subject01_1.edf|44.000|48.000,Subject01,rest,0,Subject01_1.edf,44.0,48.0,182.0,False,4.0,2.0,4s_windows_50pct_overlap,calibration,142,True,False,False
