subject_id,session,role,readable,sfreq,n_channels,locked_present,missing,duration_s
sub-15,ses-S1,scored_rest_RS_End_EO,True,500.0,64,8,[],60.0
sub-15,ses-S1,scored_task_MATBdiff,True,500.0,64,8,[],299.3
sub-16,ses-S1,calibration_RS_Beg_EO,True,500.0,64,8,[],59.96
sub-16,ses-S1,scored_rest_RS_End_EO,True,500.0,64,8,[],60.0
sub-16,ses-S1,scored_task_MATBdiff,True,500.0,64,8,[],299.3
sub-17,ses-S1,calibration_RS_Beg_EO,True,500.0,64,8,[],59.98
sub-17,ses-S1,scored_rest_RS_End_EO,True,500.0,64,8,[],60.0
sub-17,ses-S1,scored_task_MATBdiff,True,500.0,64,8,[],299.05
sub-18,ses-S1,calibration_RS_Beg_EO,True,500.0,64,8,[],59.99
sub-18,ses-S1,scored_rest_RS_End_EO,True,500.0,64,8,[],60.0
sub-18,ses-S1,scored_task_MATBdiff,True,500.0,64,8,[],299.0
sub-19,ses-S1,calibration_RS_Beg_EO,True,500.0,64,8,[],59.95
sub-19,ses-S1,scored_rest_RS_End_EO,True,500.0,64,8,[],60.0
sub-19,ses-S1,scored_task_MATBdiff,True,500.0,64,8,[],299.27
sub-20,ses-S1,calibration_RS_Beg_EO,True,500.0,64,8,[],60.0
sub-20,ses-S1,scored_rest_RS_End_EO,True,500.0,64,8,[],60.0
sub-20,ses-S1,scored_task_MATBdiff,True,500.0,64,8,[],299.24
sub-21,ses-S1,calibration_RS_Beg_EO,True,500.0,64,8,[],59.95
sub-21,ses-S1,scored_rest_RS_End_EO,True,500.0,64,8,[],60.0
sub-21,ses-S1,scored_task_MATBdiff,True,500.0,64,8,[],299.18
sub-22,ses-S1,calibration_RS_Beg_EO,True,500.0,64,8,[],59.98
sub-22,ses-S1,scored_rest_RS_End_EO,True,500.0,64,8,[],60.0
sub-22,ses-S1,scored_task_MATBdiff,True,500.0,64,8,[],299.14
sub-23,ses-S1,calibration_RS_Beg_EO,True,500.0,64,8,[],60.0
sub-23,ses-S1,scored_rest_RS_End_EO,True,500.0,64,8,[],60.0
sub-23,ses-S1,scored_task_MATBdiff,True,500.0,64,8,[],299.43
sub-24,ses-S1,calibration_RS_Beg_EO,True,500.0,64,8,[],59.96
sub-24,ses-S1,scored_rest_RS_End_EO,True,500.0,64,8,[],60.0
sub-24,ses-S1,scored_task_MATBdiff,True,500.0,64,8,[],299.45
sub-25,ses-S1,calibration_RS_Beg_EO,True,500.0,64,8,[],59.95
sub-25,ses-S1,scored_rest_RS_End_EO,True,500.0,64,8,[],60.0
sub-25,ses-S1,scored_task_MATBdiff,True,500.0,64,8,[],298.51
sub-26,ses-S1,calibration_RS_Beg_EO,True,500.0,64,8,[],59.96
sub-26,ses-S1,scored_rest_RS_End_EO,True,500.0,64,8,[],60.0
sub-26,ses-S1,scored_task_MATBdiff,True,500.0,64,8,[],299.15
sub-27,ses-S1,calibration_RS_Beg_EO,True,500.0,64,8,[],59.98
sub-27,ses-S1,scored_rest_RS_End_EO,True,500.0,64,8,[],60.0
sub-27,ses-S1,scored_task_MATBdiff,True,500.0,64,8,[],299.05
sub-28,ses-S1,calibration_RS_Beg_EO,True,500.0,64,8,[],59.95
sub-28,ses-S1,scored_rest_RS_End_EO,True,500.0,64,8,[],60.0
sub-28,ses-S1,scored_task_MATBdiff,True,500.0,64,8,[],298.51
sub-29,ses-S1,calibration_RS_Beg_EO,True,500.0,64,8,[],60.0
sub-29,ses-S1,scored_rest_RS_End_EO,True,500.0,64,8,[],60.0
sub-29,ses-S1,scored_task_MATBdiff,True,500.0,64,8,[],299.08
