subject_id,session,role,recording,label,available_duration_s,segment_seconds,segment_within_available,window_seconds,overlap_fraction,step_seconds,planned_windows,windows_are_time_defined_sampling_invariant
sub-14,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.22,30.0,yes,4.0,0.5,2.0,14,true
sub-15,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,59.98,30.0,yes,4.0,0.5,2.0,14,true
sub-15,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-15,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.3,30.0,yes,4.0,0.5,2.0,14,true
sub-16,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,59.96,30.0,yes,4.0,0.5,2.0,14,true
sub-16,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-16,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.3,30.0,yes,4.0,0.5,2.0,14,true
sub-17,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,59.98,30.0,yes,4.0,0.5,2.0,14,true
sub-17,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-17,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.05,30.0,yes,4.0,0.5,2.0,14,true
sub-18,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,59.99,30.0,yes,4.0,0.5,2.0,14,true
sub-18,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-18,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.0,30.0,yes,4.0,0.5,2.0,14,true
sub-19,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,59.95,30.0,yes,4.0,0.5,2.0,14,true
sub-19,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-19,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.27,30.0,yes,4.0,0.5,2.0,14,true
sub-20,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-20,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-20,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.24,30.0,yes,4.0,0.5,2.0,14,true
sub-21,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,59.95,30.0,yes,4.0,0.5,2.0,14,true
sub-21,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-21,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.18,30.0,yes,4.0,0.5,2.0,14,true
sub-22,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,59.98,30.0,yes,4.0,0.5,2.0,14,true
sub-22,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-22,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.14,30.0,yes,4.0,0.5,2.0,14,true
sub-23,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-23,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-23,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.43,30.0,yes,4.0,0.5,2.0,14,true
sub-24,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,59.96,30.0,yes,4.0,0.5,2.0,14,true
sub-24,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-24,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.45,30.0,yes,4.0,0.5,2.0,14,true
sub-25,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,59.95,30.0,yes,4.0,0.5,2.0,14,true
sub-25,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-25,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,298.51,30.0,yes,4.0,0.5,2.0,14,true
sub-26,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,59.96,30.0,yes,4.0,0.5,2.0,14,true
sub-26,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-26,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.15,30.0,yes,4.0,0.5,2.0,14,true
sub-27,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,59.98,30.0,yes,4.0,0.5,2.0,14,true
sub-27,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-27,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.05,30.0,yes,4.0,0.5,2.0,14,true
sub-28,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,59.95,30.0,yes,4.0,0.5,2.0,14,true
sub-28,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-28,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,298.51,30.0,yes,4.0,0.5,2.0,14,true
sub-29,ses-S1,calibration_RS_Beg_EO,RS_Beg_EO,calibration_unlabeled,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-29,ses-S1,scored_rest_RS_End_EO,RS_End_EO,0_rest,60.0,30.0,yes,4.0,0.5,2.0,14,true
sub-29,ses-S1,scored_task_MATBdiff,MATBdiff,1_task,299.08,30.0,yes,4.0,0.5,2.0,14,true
